id,name,parent_id
4002,经济学,40
4003,法学,40
4004,教育学,40
4005,文学,40
4006,历史学,40
4008,工学,40
4009,农学,40
4010,医学,40
4011,军事学,40
4012,管理学,40
4013,艺术学,40
3001,哲学,30
3002,经济学,30
3003,法学,30
3004,教育学,30
3005,文学,30
3006,历史学,30
3007,理学,30
3008,工学,30
3009,农学,30
3010,医学,30
3011,军事学,30
3012,管理学,30
3013,艺术学,30
2002,经济学,20
2003,法学,20
2004,教育学,20
2005,文学,20
2006,历史学,20
2008,工学,20
2009,农学,20
2010,医学,20
2011,军事学,20
2012,管理学,20
2013,艺术学,20
1001,哲学,10
1002,经济学,10
1003,法学,10
1004,教育学,10
1005,文学,10
1006,历史学,10
1007,理学,10
1008,工学,10
1009,农学,10
1010,医学,10
1011,军事学,10
1012,管理学,10
1013,艺术学,10
