:START_ID,:END_ID,:TYPE
code010100,清华大学,belongTo
code010100,中国石油大学(北京),belongTo
code010100,哈尔滨理工大学,belongTo
code010100,华东理工大学,belongTo
code010100,苏州科技大学,belongTo
code010100,江苏师范大学,belongTo
code010100,江苏大学,belongTo
code010100,中国计量大学,belongTo
code010100,安徽师范大学,belongTo
code010100,华侨大学,belongTo
code010100,景德镇陶瓷大学,belongTo
code010100,曲阜师范大学,belongTo
code010100,湖南科技大学,belongTo
code010100,湖南大学,belongTo
code010100,中南大学,belongTo
code010100,吉首大学,belongTo
code010100,湘潭大学,belongTo
code010100,中山大学,belongTo
code010100,深圳大学,belongTo
code010100,西南政法大学,belongTo
code010100,重庆大学,belongTo
code010100,西南民族大学,belongTo
code010100,西安电子科技大学,belongTo
code010100,西安建筑科技大学,belongTo
code010100,新疆大学,belongTo
code010101,国防大学,belongTo
code010101,中共北京市委党校,belongTo
code010101,北京师范大学,belongTo
code010101,首都师范大学,belongTo
code010101,北京大学,belongTo
code010101,中国人民大学,belongTo
code010101,北京交通大学,belongTo
code010101,北京航空航天大学,belongTo
code010101,北京邮电大学,belongTo
code010101,中国石油大学(北京),belongTo
code010101,中央民族大学,belongTo
code010101,中国政法大学,belongTo
code010101,中国青年政治学院,belongTo
code010101,中共中央党校(国家行政学院),belongTo
code010101,中国社会科学院大学,belongTo
code010101,南开大学,belongTo
code010101,天津师范大学,belongTo
code010101,河北大学,belongTo
code010101,河北师范大学,belongTo
code010101,中央司法警官学院,belongTo
code010101,山西大学,belongTo
code010101,内蒙古师范大学,belongTo
code010101,内蒙古大学,belongTo
code010101,大连海事大学,belongTo
code010101,沈阳师范大学,belongTo
code010101,辽宁大学,belongTo
code010101,东北大学,belongTo
code010101,吉林师范大学,belongTo
code010101,东北师范大学,belongTo
code010101,吉林大学,belongTo
code010101,中共吉林省委党校(吉林省行政学院),belongTo
code010101,哈尔滨师范大学,belongTo
code010101,哈尔滨工业大学,belongTo
code010101,黑龙江大学,belongTo
code010101,上海社会科学院,belongTo
code010101,中共上海市委党校,belongTo
code010101,复旦大学,belongTo
code010101,上海交通大学,belongTo
code010101,东华大学,belongTo
code010101,华东师范大学,belongTo
code010101,上海师范大学,belongTo
code010101,上海财经大学,belongTo
code010101,扬州大学,belongTo
code010101,中共江苏省委党校,belongTo
code010101,河海大学,belongTo
code010101,苏州大学,belongTo
code010101,东南大学,belongTo
code010101,江苏师范大学,belongTo
code010101,南京大学,belongTo
code010101,江苏大学,belongTo
code010101,南京林业大学,belongTo
code010101,浙江大学,belongTo
code010101,安徽大学,belongTo
code010101,厦门大学,belongTo
code010101,江西师范大学,belongTo
code010101,中共山东省委党校(山东行政学院）,belongTo
code010101,曲阜师范大学,belongTo
code010101,山东大学,belongTo
code010101,山东师范大学,belongTo
