id:ID,name,:LABEL
1001,哲学,SubCategory
1002,经济学,SubCategory
1003,法学,SubCategory
1004,教育学,SubCategory
1005,文学,SubCategory
1006,历史学,SubCategory
1007,理学,SubCategory
1008,工学,SubCategory
1009,农学,SubCategory
1010,医学,SubCategory
1011,军事学,SubCategory
1012,管理学,SubCategory
1013,艺术学,SubCategory
2002,经济学,SubCategory
2003,法学,SubCategory
2004,教育学,SubCategory
2005,文学,SubCategory
2006,历史学,SubCategory
2008,工学,SubCategory
2009,农学,SubCategory
2010,医学,SubCategory
2011,军事学,SubCategory
2012,管理学,SubCategory
2013,艺术学,SubCategory
