:START_ID,:END_ID,:TYPE
100101,code010100,hasSub
100101,code010101,hasSub
100101,code010102,hasSub
100101,code010103,hasSub
100101,code010104,hasSub
100101,code010105,hasSub
100101,code010106,hasSub
100101,code010107,hasSub
100101,code010108,hasSub
100201,code020100,hasSub
100201,code020101,hasSub
100201,code020102,hasSub
100201,code020103,hasSub
100201,code020104,hasSub
100201,code020105,hasSub
100201,code020106,hasSub
100202,code020200,hasSub
100202,code020201,hasSub
100202,code020202,hasSub
100202,code020203,hasSub
100202,code020204,hasSub
100202,code020205,hasSub
100202,code020206,hasSub
100202,code020207,hasSub
100202,code020208,hasSub
100202,code020209,hasSub
100202,code020210,hasSub
100270,code027000,hasSub
100301,code030100,hasSub
100301,code030101,hasSub
100301,code030102,hasSub
100301,code030103,hasSub
100301,code030104,hasSub
100301,code030105,hasSub
100301,code030106,hasSub
100301,code030107,hasSub
100301,code030108,hasSub
100301,code030109,hasSub
100301,code030110,hasSub
100302,code030200,hasSub
100302,code030201,hasSub
100302,code030202,hasSub
100302,code030203,hasSub
100302,code030204,hasSub
100302,code030206,hasSub
100302,code030207,hasSub
100302,code030208,hasSub
100303,code030300,hasSub
100303,code030301,hasSub
100303,code030302,hasSub
100303,code030303,hasSub
100303,code030304,hasSub
100304,code030400,hasSub
100304,code030401,hasSub
100304,code030402,hasSub
100304,code030403,hasSub
100304,code030404,hasSub
100304,code030405,hasSub
100305,code030500,hasSub
100305,code030501,hasSub
100305,code030502,hasSub
100305,code030503,hasSub
100305,code030504,hasSub
100305,code030505,hasSub
100305,code030506,hasSub
100306,code030600,hasSub
100401,code040100,hasSub
100401,code040101,hasSub
100401,code040102,hasSub
100401,code040103,hasSub
100401,code040104,hasSub
100401,code040105,hasSub
100401,code040106,hasSub
100401,code040107,hasSub
100401,code040108,hasSub
100401,code040109,hasSub
100401,code040110,hasSub
100401,code040111,hasSub
100402,code040200,hasSub
100402,code040201,hasSub
100402,code040202,hasSub
100402,code040203,hasSub
100403,code040300,hasSub
100403,code040301,hasSub
100403,code040302,hasSub
100403,code040303,hasSub
100403,code040304,hasSub
100471,code047101,hasSub
100501,code050100,hasSub
100501,code050101,hasSub
100501,code050102,hasSub
100501,code050103,hasSub
100501,code050104,hasSub
100501,code050105,hasSub
100501,code050106,hasSub
100501,code050107,hasSub
100501,code050108,hasSub
100502,code050200,hasSub
100502,code050201,hasSub
100502,code050202,hasSub
100502,code050203,hasSub
100502,code050204,hasSub
100502,code050205,hasSub
100502,code050206,hasSub
100502,code050207,hasSub
100502,code050208,hasSub
100502,code050209,hasSub
100502,code050210,hasSub
100502,code050211,hasSub
100503,code050300,hasSub
100503,code050301,hasSub
100503,code050302,hasSub
