parent_code,college
135100,[]
135101,[]
135102,[]
135103,[]
135104,[]
135105,[]
135106,[]
135107,[]
135108,[]
125100,[]
125200,[]
125300,[]
125400,[]
125500,[]
125600,[]
125601,[]
125602,[]
125603,[]
125604,[]
115100,[]
115101,[]
115102,[]
115103,[]
115104,[]
105100,"['解放军医学院', '上海交通大学', '南昌大学']"
105101,"['解放军医学院', '首都医科大学', '北京协和医学院', '北京大学', '天津医科大学', '中国医科大学', '海军军医大学', '同济大学', '浙江大学', '山东大学', '华中科技大学', '中南大学', '南方医科大学', '广西医科大学', '陆军军医大学', '四川大学', '昆明医科大学', '空军军医大学', '西安交通大学', '兰州大学', '新疆医科大学']"
105102,"['解放军医学院', '北京协和医学院', '北京大学', '天津医科大学', '中国医科大学', '同济大学', '浙江大学', '山东大学', '华中科技大学', '中南大学', '南方医科大学', '广西医科大学', '陆军军医大学', '四川大学', '昆明医科大学', '空军军医大学', '西安交通大学', '新疆医科大学']"
105103,"['解放军医学院', '中国医科大学', '海军军医大学', '同济大学', '浙江大学', '山东大学', '华中科技大学', '中南大学', '南方医科大学', '陆军军医大学', '四川大学', '空军军医大学', '新疆医科大学']"
105104,"['解放军医学院', '首都医科大学', '北京大学', '天津医科大学', '中国医科大学', '海军军医大学', '同济大学', '浙江大学', '山东大学', '华中科技大学', '中南大学', '南方医科大学', '广西医科大学', '陆军军医大学', '四川大学', '昆明医科大学', '空军军医大学', '西安交通大学', '新疆医科大学']"
105105,"['首都医科大学', '北京大学', '中国医科大学', '同济大学', '浙江大学', '中南大学', '南方医科大学', '四川大学', '昆明医科大学', '空军军医大学', '西安交通大学']"
105106,"['解放军医学院', '首都医科大学', '北京协和医学院', '北京大学', '天津医科大学', '中国医科大学', '海军军医大学', '同济大学', '浙江大学', '山东大学', '华中科技大学', '中南大学', '南方医科大学', '陆军军医大学', '四川大学', '昆明医科大学', '空军军医大学', '西安交通大学', '新疆医科大学']"
105107,['昆明医科大学']
105108,[]
105109,[]
105110,['昆明医科大学']
105111,['昆明医科大学']
105112,[]
105113,['昆明医科大学']
105114,['昆明医科大学']
105115,['昆明医科大学']
105116,['昆明医科大学']
105117,['昆明医科大学']
105125,['昆明医科大学']
105126,[]
105118,['昆明医科大学']
105119,[]
105120,['昆明医科大学']
105121,['昆明医科大学']
105122,['昆明医科大学']
105123,['昆明医科大学']
105124,['昆明医科大学']
105200,"['北京大学', '中国医科大学', '同济大学', '浙江大学', '四川大学', '空军军医大学']"
105300,[]
105400,[]
105500,['烟台大学']
105600,[]
105701,"['河北中医学院', '湖北中医药大学']"
105702,['河北中医学院']
105703,['河北中医学院']
105704,['河北中医学院']
105705,['河北中医学院']
105706,['河北中医学院']
105707,['河北中医学院']
105708,['河北中医学院']
105709,"['河北中医学院', '湖北中医药大学']"
105700,['河北中医学院']
105710,[]
095100,[]
095131,[]
095132,[]
095133,[]
095134,[]
095135,[]
095136,[]
095137,[]
095138,[]
095200,"['山西农业大学', '东北农业大学', '华南农业大学', '甘肃农业大学']"
095300,[]
095400,[]
085100,[]
085300,[]
085400,[]
085500,[]
085600,[]
085700,[]
085800,[]
085900,[]
086000,[]
086100,[]
065100,[]
055119,[]
055120,[]
055121,[]
055122,[]
055113,[]
055114,[]
055115,[]
055116,[]
055117,[]
055118,[]
055100,[]
055101,[]
055102,[]
055103,[]
055104,[]
055105,[]
055106,[]
055107,[]
055108,[]
055109,[]
055110,[]
055111,[]
055112,[]
055200,[]
055300,[]
045120,[]
045100,"['清华大学', '东北师范大学', '南京大学', '浙江大学', '厦门大学', '华中科技大学', '华中师范大学']"
045101,[]
045102,[]
045103,[]
045104,[]
045105,[]
045106,[]
045107,[]
045108,[]
045109,[]
045110,[]
045111,[]
045112,[]
045113,[]
045114,[]
045115,[]
045116,[]
045117,[]
045118,[]
045119,[]
045171,"['南京师范大学', '河南师范大学', '华南师范大学', '西南大学', '陕西师范大学', '西北师范大学']"
045172,"['北京师范大学', '华东师范大学', '西南大学']"
045173,"['北京师范大学', '北京大学', '华东师范大学', '南京师范大学', '河南师范大学', '华南师范大学', '陕西师范大学', '西北师范大学']"
045174,[]
045200,[]
045201,[]
045202,[]
045203,[]
045204,[]
045300,['河南师范大学']
045400,[]
035100,[]
035101,[]
035102,[]
035200,[]
035300,[]
025100,[]
025200,[]
025300,[]
025400,[]
025500,[]
025600,[]
025700,[]
1301L1,[]
130100,"['中国艺术研究院', '中央戏剧学院', '北京师范大学', '中央美术学院', '北京大学', '清华大学', '哈尔滨师范大学', '上海大学', '上海戏剧学院', '上海音乐学院', '南京艺术学院', '东南大学', '南京大学', '中国美术学院', '武汉理工大学', '四川大学', '西安美术学院']"
1302L1,[]
130200,"['中国艺术研究院', '首都师范大学', '中国音乐学院', '东北师范大学', '哈尔滨师范大学', '上海音乐学院', '南京艺术学院', '南京师范大学', '湖南师范大学']"
1303L1,[]
1303L2,[]
130300,"['中国艺术研究院', '中央戏剧学院', '北京师范大学', '山西师范大学', '上海大学', '上海戏剧学院', '上海音乐学院', '南京艺术学院', '南京大学', '南京师范大学', '中国美术学院', '厦门大学']"
1304L1,[]
